,Unnamed: 0,date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
43674,43674,0.911199,1,0.893617,0.044254,0.374145,0.002879,0.300363,0.704825,1
3247,3247,0.009115,6,0.659574,0.082323,0.488991,0.003467,0.422915,0.414912,1
40611,40611,0.995575,1,0.06383,0.077369,0.271199,0.005077,0.40057,0.569737,1
31221,31221,0.871997,1,0.446809,0.031704,0.48795,0.001695,0.269549,0.902193,0
3774,3774,0.009601,3,0.638298,0.046385,0.478578,0.003467,0.422915,0.414912,1
16327,16327,0.438255,6,0.148936,0.046836,0.141625,0.003467,0.422915,0.414912,0
35313,35313,0.885094,2,0.702128,0.128858,0.572449,0.008959,0.675816,0.255263,1
5674,5674,0.017477,1,0.212766,0.061967,0.185361,0.003467,0.422915,0.414912,0
22595,22595,0.456263,3,0.744681,0.046806,0.699345,0.003157,0.649404,0.470175,1
26061,26061,0.465599,5,0.957447,0.029753,0.444362,0.002044,0.25738,0.522807,0
41937,41937,0.903456,7,0.702128,0.030473,0.301696,0.001975,0.182807,0.725,0
26572,26572,0.469139,2,0.595745,0.059865,0.535257,0.003943,0.549974,0.420614,1
10565,10565,0.031238,5,0.106383,0.074787,0.148319,0.003467,0.422915,0.414912,0
29343,29343,0.867218,4,0.319149,0.033776,0.422047,0.002316,0.37623,0.403947,0
6940,6940,0.018627,6,0.595745,0.075327,0.355251,0.003467,0.422915,0.414912,1
39380,39380,0.898058,3,0.425532,0.083734,0.694287,0.005534,0.654065,0.568421,1
22455,22455,0.45613,7,0.829787,0.027771,0.492711,0.001818,0.379078,0.727632,0
18225,18225,0.443033,3,0.702128,0.070764,0.579887,0.004798,0.540135,0.528509,1
6161,6161,0.01792,4,0.361702,0.06614,0.5241,0.003467,0.422915,0.414912,0
36338,36338,0.88912,3,0.042553,0.035067,0.434395,0.002277,0.451838,0.498684,1
7203,7203,0.02199,5,0.06383,0.046445,0.325052,0.003467,0.422915,0.414912,0
32930,32930,0.876775,2,0.042553,0.027141,0.207974,0.001705,0.321595,0.739912,0
17362,17362,0.442281,6,0.723404,0.055933,0.40717,0.003467,0.422915,0.414912,0
40585,40585,0.899164,7,0.531915,0.070584,0.376971,0.004535,0.33014,0.741667,0
42895,42895,0.907438,6,0.659574,0.07869,0.454775,0.005318,0.487053,0.416228,1
31300,31300,0.872085,3,0.085106,0.02609,0.162749,0.000827,0.311497,0.754386,0
32639,32639,0.876466,2,1.0,0.028161,0.394674,0.00085,0.363024,0.664912,0
25423,25423,0.495686,6,0.659574,0.030323,0.433353,0.002117,0.394873,0.324561,0
21523,21523,0.452237,2,0.404255,0.035817,0.698602,0.002424,0.59477,0.435526,1
4755,4755,0.013583,3,0.06383,0.051699,0.413865,0.003467,0.422915,0.414912,0
7260,7260,0.022034,6,0.255319,0.062057,0.145641,0.003467,0.422915,0.414912,1
15817,15817,0.437768,2,0.531915,0.045334,0.438114,0.003467,0.422915,0.414912,0
25926,25926,0.46551,3,0.12766,0.026,0.133145,0.001749,0.210254,0.618421,0
34619,34619,0.881377,2,0.234043,0.028942,0.204999,0.00172,0.247022,0.674561,0
6372,6372,0.018097,1,0.765957,0.097274,0.55296,0.003467,0.422915,0.414912,1
42617,42617,0.907172,7,0.87234,0.098775,0.420411,0.006645,0.489902,0.507456,1
13551,13551,0.42945,4,0.319149,0.084544,0.533323,0.003467,0.422915,0.414912,1
44197,44197,0.911685,5,0.787234,0.049688,0.475751,0.003376,0.530036,0.309649,0
35665,35665,0.885448,3,0.021277,0.042152,0.451056,0.002588,0.376489,0.707018,1
44136,44136,0.911641,4,0.510638,0.148613,0.514877,0.010029,0.588814,0.387719,1
39934,39934,0.898544,7,0.978723,0.094332,0.491818,0.006032,0.451579,0.557895,1
20485,20485,0.451263,1,0.787234,0.041612,0.670336,0.002646,0.471776,0.772807,1
13598,13598,0.429494,5,0.297872,0.073226,0.517108,0.003467,0.422915,0.414912,0
27885,27885,0.47343,1,0.957447,0.029152,0.304225,0.001867,0.219057,0.697368,0
29190,29190,0.867086,1,0.12766,0.023448,0.056531,0.001575,0.085189,0.693421,0
124,124,8.8e-05,4,0.595745,0.047106,0.458792,0.003467,0.422915,0.414912,1
4460,4460,0.013274,3,0.93617,0.090068,0.540613,0.003467,0.422915,0.414912,1
34573,34573,0.881333,1,0.276596,0.018014,0.11931,0.000912,0.149663,0.838158,0
23356,23356,0.460024,5,0.595745,0.030353,0.46147,0.002056,0.52434,0.257018,0
29221,29221,0.867086,1,0.787234,0.028762,0.294406,0.001948,0.151217,0.663596,1
9721,9721,0.027344,1,0.531915,0.080491,0.497173,0.003467,0.422915,0.414912,1
36687,36687,0.88943,3,0.319149,0.036358,0.629277,0.002528,0.622216,0.339035,0
36546,36546,0.889297,7,0.382979,0.040591,0.520976,0.002009,0.373382,0.57193,1
9142,9142,0.026813,3,0.468085,0.106461,0.544035,0.003467,0.422915,0.414912,1
40370,40370,0.898987,3,0.042553,0.100667,0.510414,0.006579,0.542724,0.573684,1
8393,8393,0.023052,1,0.87234,0.076378,0.335317,0.003467,0.422915,0.414912,0
6740,6740,0.018451,2,0.425532,0.056923,0.509075,0.003467,0.422915,0.414912,0
36693,36693,0.88943,3,0.446809,0.030293,0.609789,0.002086,0.630761,0.332456,0
8078,8078,0.022787,2,0.297872,0.069833,0.405237,0.003467,0.422915,0.414912,0
35095,35095,0.893677,5,0.148936,0.029032,0.193395,0.001859,0.318747,0.780702,0
33135,33135,0.876952,6,0.319149,0.034826,0.527373,0.002391,0.524081,0.373246,1
10915,10915,0.031547,5,0.404255,0.060406,0.489438,0.003467,0.422915,0.414912,0
32795,32795,0.876643,6,0.234043,0.029392,0.394377,0.001855,0.42465,0.578509,1
11891,11891,0.424848,4,0.744681,0.058394,0.368492,0.003467,0.422915,0.414912,0
18441,18441,0.443255,1,0.191489,0.031734,0.099524,0.002092,0.137235,0.677632,0
30545,30545,0.871377,1,0.361702,0.030984,0.374145,0.001899,0.230451,0.797368,1
28227,28227,0.473784,2,0.06383,0.02648,0.153675,0.001753,0.307095,0.698246,0
24876,24876,0.464537,2,0.255319,0.02684,0.100863,0.001801,0.28405,0.536404,0
31586,31586,0.872351,2,0.042553,0.027381,0.175989,0.000841,0.300621,0.797807,1
40332,40332,0.898943,2,0.255319,0.091359,0.397501,0.006012,0.428534,0.550439,1
36247,36247,0.885978,1,0.148936,0.029062,0.142517,0.001882,0.252978,0.750439,0
5020,5020,0.013805,1,0.595745,0.133391,0.707825,0.003467,0.422915,0.414912,1
14874,14874,0.43383,3,0.893617,0.045334,0.400922,0.003467,0.422915,0.414912,0
24840,24840,0.464493,1,0.510638,0.02696,0.286968,0.001797,0.199637,0.648684,0
4374,4374,0.01323,2,0.12766,0.046475,0.273728,0.003467,0.422915,0.414912,1
36782,36782,0.889518,5,0.297872,0.035547,0.554448,0.002468,0.558519,0.289035,0
10808,10808,0.031459,3,0.170213,0.073286,0.160815,0.003467,0.422915,0.414912,0
2291,2291,0.005133,7,0.744681,0.075357,0.615888,0.003467,0.422915,0.414912,1
43387,43387,0.90788,2,0.914894,0.033085,0.396013,0.002208,0.346453,0.504825,0
17999,17999,0.442812,5,1.0,0.055572,0.496132,0.003864,0.451579,0.357456,1
8315,8315,0.023008,7,0.234043,0.066561,0.078102,0.003467,0.422915,0.414912,0
2452,2452,0.005309,4,0.085106,0.079711,0.373698,0.003467,0.422915,0.414912,0
4251,4251,0.013097,6,0.574468,0.041401,0.343201,0.003467,0.422915,0.414912,0
43164,43164,0.907703,5,0.255319,0.057524,0.344689,0.003855,0.371051,0.555263,1
24852,24852,0.464493,1,0.765957,0.030023,0.347516,0.00204,0.327809,0.458333,1
13601,13601,0.429494,5,0.361702,0.087907,0.602946,0.003467,0.422915,0.414912,1
6314,6314,0.018052,7,0.553191,0.069653,0.276406,0.003467,0.422915,0.414912,1
3005,3005,0.008893,1,0.617021,0.120151,0.554002,0.003467,0.422915,0.414912,1
12852,12852,0.425733,3,0.765957,0.084664,0.424278,0.003467,0.422915,0.414912,1
36447,36447,0.889208,5,0.319149,0.029633,0.589259,0.002061,0.58985,0.30307,0
35664,35664,0.885448,3,0.0,0.073556,0.476793,0.004377,0.402123,0.706579,1
25282,25282,0.482412,3,0.723404,0.054311,0.463999,0.003789,0.498187,0.280702,1
14721,14721,0.433698,7,0.702128,0.046535,0.307647,0.003467,0.422915,0.414912,0
38543,38543,0.894208,6,1.0,0.061757,0.594466,0.004167,0.550233,0.532895,0
32932,32932,0.876775,2,0.085106,0.02603,0.167212,0.00085,0.256085,0.730263,0
35828,35828,0.88558,6,0.425532,0.040261,0.585838,0.002825,0.64552,0.213596,0
44660,44660,0.912128,1,0.425532,0.044134,0.354061,0.002904,0.276282,0.660965,1
14251,14251,0.430069,4,0.914894,0.057674,0.43127,0.003467,0.422915,0.414912,0
29486,29486,0.867351,7,0.297872,0.032305,0.292919,0.001614,0.248835,0.836842,0
25641,25641,0.465245,4,0.191489,0.02675,0.159328,0.001828,0.19653,0.446053,0
22618,22618,0.456307,4,0.212766,0.023898,0.255727,0.001595,0.288969,0.776316,0
25712,25712,0.465289,5,0.680851,0.054131,0.475007,0.003754,0.477473,0.214035,1
13988,13988,0.429848,6,0.425532,0.074847,0.469503,0.003467,0.422915,0.414912,1
14110,14110,0.429937,1,0.978723,0.070704,0.430675,0.003467,0.422915,0.414912,0
17117,17117,0.438963,1,0.617021,0.054612,0.451056,0.003467,0.422915,0.414912,1
10605,10605,0.031238,5,0.957447,0.074817,0.402708,0.003467,0.422915,0.414912,0
21007,21007,0.45175,5,0.659574,0.033626,0.554746,0.002225,0.61419,0.466667,0
1872,1872,0.004779,6,0.0,0.106161,0.540613,0.003467,0.422915,0.414912,1
33034,33034,0.876864,4,0.212766,0.032245,0.324011,0.002059,0.338167,0.628947,1
5015,5015,0.013805,1,0.489362,0.146691,0.731479,0.003467,0.422915,0.414912,1
30496,30496,0.86828,7,0.340426,0.030954,0.451354,0.001917,0.335836,0.857456,1
16907,16907,0.438786,4,0.234043,0.049898,0.219131,0.003467,0.422915,0.414912,0
44984,44984,0.912438,1,0.170213,0.028492,0.081672,0.001735,0.15303,0.661842,0
3225,3225,0.009115,6,0.191489,0.061517,0.20604,0.003467,0.422915,0.414912,1
19610,19610,0.44737,4,0.553191,0.053411,0.608599,0.003725,0.587519,0.433772,1
26648,26648,0.469227,4,0.170213,0.038039,0.176436,0.002484,0.210772,0.688158,0
38285,38285,0.893987,1,0.617021,0.036057,0.355846,0.001762,0.326515,0.837281,0
12846,12846,0.425733,3,0.638298,0.084664,0.509372,0.003467,0.422915,0.414912,1
44117,44117,0.911641,4,0.106383,0.042092,0.175543,0.00274,0.285344,0.726316,0
18931,18931,0.44675,4,0.404255,0.085565,0.682981,0.005862,0.591144,0.413596,1
3402,3402,0.009247,2,0.893617,0.103759,0.708866,0.003467,0.422915,0.414912,1
40003,40003,0.898633,2,0.404255,0.139156,0.709461,0.009408,0.668048,0.34693,1
43356,43356,0.90788,2,0.255319,0.103879,0.395418,0.007,0.4855,0.502193,1
41749,41749,0.903279,3,0.787234,0.07893,0.581226,0.005366,0.5826,0.395614,1
31493,31493,0.872262,7,0.106383,0.030083,0.13136,0.000839,0.222683,0.797807,0
45290,45290,0.9158,7,0.553191,0.053591,0.363285,0.003691,0.320559,0.374561,0
34169,34169,0.880934,6,0.87234,0.02675,0.38069,0.001778,0.433972,0.622368,1
21479,21479,0.452192,1,0.489362,0.033295,0.487504,0.00226,0.227343,0.602632,0
12457,12457,0.425379,2,0.531915,0.117389,0.647278,0.003467,0.422915,0.414912,1
35169,35169,0.898102,6,0.702128,0.027981,0.499405,0.001942,0.554894,0.42807,0
11403,11403,0.03199,1,0.574468,0.074817,0.3072,0.003467,0.422915,0.414912,1
3032,3032,0.008938,2,0.170213,0.075958,0.239958,0.003467,0.422915,0.414912,0
41886,41886,0.903411,6,0.638298,0.043773,0.463999,0.002931,0.46841,0.477193,0
40605,40605,0.899164,7,0.957447,0.07926,0.440048,0.005143,0.348265,0.634649,1
10824,10824,0.031459,3,0.510638,0.06611,0.49033,0.003467,0.422915,0.414912,0
1101,1101,0.000973,3,0.957447,0.044134,0.510116,0.003467,0.422915,0.414912,0
28775,28775,0.474271,6,0.489362,0.030623,0.360904,0.002027,0.117815,0.877193,1
27861,27861,0.47343,1,0.446809,0.049538,0.381583,0.003378,0.24262,0.643421,1
15315,15315,0.434273,6,0.06383,0.043383,0.182981,0.003467,0.422915,0.414912,0
20648,20648,0.45144,5,0.170213,0.038699,0.262868,0.000976,0.333506,0.662719,0
8969,8969,0.026636,6,0.87234,0.050498,0.273431,0.003467,0.422915,0.414912,0
19471,19471,0.447237,1,0.659574,0.043023,0.554299,0.00286,0.317452,0.745614,1
17272,17272,0.442193,4,0.851064,0.110874,0.488248,0.003467,0.422915,0.414912,1
41248,41248,0.902836,7,0.340426,0.080701,0.408658,0.00435,0.319524,0.730263,1
1631,1631,0.004513,7,1.0,0.043683,0.384261,0.003467,0.422915,0.414912,0
27512,27512,0.470023,1,0.170213,0.024799,0.106962,0.001683,0.100725,0.550439,0
9081,9081,0.026769,2,0.191489,0.074517,0.196519,0.003467,0.422915,0.414912,1
744,744,0.000664,3,0.510638,0.124835,0.523654,0.003467,0.422915,0.414912,1
1739,1739,0.004646,3,0.234043,0.079891,0.29396,0.003467,0.422915,0.414912,0
5961,5961,0.017743,7,0.191489,0.044974,0.082416,0.003467,0.422915,0.414912,0
28145,28145,0.473696,7,0.361702,0.049898,0.47471,0.003359,0.425945,0.656579,1
32406,32406,0.876289,5,0.12766,0.021016,0.156055,0.000841,0.286639,0.857018,0
21374,21374,0.452104,6,0.297872,0.034196,0.600268,0.002401,0.518902,0.342982,0
9223,9223,0.026901,5,0.148936,0.071845,0.153228,0.003467,0.422915,0.414912,0
6751,6751,0.018451,2,0.659574,0.089378,0.480363,0.003467,0.422915,0.414912,1
38279,38279,0.893987,1,0.489362,0.05245,0.483785,0.002329,0.342569,0.838158,0
31396,31396,0.872174,5,0.085106,0.020986,0.154418,0.000845,0.311238,0.842105,0
40508,40508,0.899075,5,0.93617,0.088417,0.596697,0.005906,0.498187,0.632018,1
37666,37666,0.890315,2,0.723404,0.063738,0.804374,0.004383,0.710254,0.432018,0
23303,23303,0.45998,4,0.489362,0.045394,0.511455,0.003141,0.501036,0.267105,0
1881,1881,0.004779,6,0.191489,0.060886,0.180303,0.003467,0.422915,0.414912,0
44261,44261,0.911774,7,0.106383,0.043713,0.146534,0.002867,0.291041,0.638158,0
60,60,4.4e-05,3,0.255319,0.051489,0.30244,0.003467,0.422915,0.414912,1
24087,24087,0.460688,6,0.829787,0.146301,0.562333,0.010127,0.488866,0.210088,1
33503,33503,0.880315,6,1.0,0.077879,0.442725,0.005343,0.383739,0.331579,1
27487,27487,0.469979,7,0.659574,0.031104,0.441684,0.002113,0.287934,0.522368,0
41184,41184,0.902792,6,0.0,0.087607,0.466677,0.005586,0.484982,0.666228,1
30332,30332,0.868103,3,0.93617,0.029753,0.443618,0.001942,0.320041,0.788158,0
43969,43969,0.911508,1,0.021277,0.041281,0.214073,0.002676,0.31072,0.621491,0
10023,10023,0.030707,7,0.829787,0.083794,0.347069,0.003467,0.422915,0.414912,1
14654,14654,0.433653,6,0.297872,0.048037,0.331151,0.003467,0.422915,0.414912,0
38410,38410,0.89412,4,0.212766,0.05266,0.306903,0.003392,0.420249,0.754825,0
29872,29872,0.867705,1,0.340426,0.029903,0.350342,0.000841,0.193164,0.887281,0
41725,41725,0.903279,3,0.276596,0.062357,0.428146,0.004152,0.390212,0.552193,0
14184,14184,0.430025,3,0.510638,0.095743,0.616334,0.003467,0.422915,0.414912,1
3314,3314,0.009203,1,0.042553,0.041492,0.367896,0.003467,0.422915,0.414912,0
610,610,0.000531,7,0.723404,0.108262,0.418328,0.003467,0.422915,0.414912,1
24034,24034,0.460643,5,0.723404,0.044734,0.55906,0.003006,0.486018,0.496053,1
36227,36227,0.995443,7,0.744681,0.096643,0.597292,0.006433,0.478767,0.623246,1
21361,21361,0.452104,6,0.021277,0.040231,0.540762,0.002765,0.433454,0.517982,0
21197,21197,0.451927,2,0.617021,0.033626,0.536001,0.002206,0.601243,0.525877,0
21448,21448,0.452148,7,0.851064,0.034436,0.539572,0.002572,0.337649,0.376316,0
26821,26821,0.46936,7,0.787234,0.028582,0.340524,0.001907,0.253237,0.633333,0
39717,39717,0.898367,3,0.446809,0.054191,0.59997,0.003612,0.644226,0.388596,0
45008,45008,0.912438,1,0.680851,0.043833,0.276257,0.002879,0.278871,0.664474,1
7233,7233,0.02199,5,0.702128,0.051219,0.419816,0.003467,0.422915,0.414912,0
30094,30094,0.867882,5,0.978723,0.029242,0.456858,0.001697,0.401346,0.735526,0
36394,36394,0.889164,4,0.212766,0.027471,0.219131,0.001766,0.327809,0.723684,0
13747,13747,0.429627,1,0.404255,0.102078,0.625855,0.003467,0.422915,0.414912,1
3422,3422,0.009292,3,0.297872,0.110124,0.644897,0.003467,0.422915,0.414912,1
8357,8357,0.023052,1,0.106383,0.046866,0.098334,0.003467,0.422915,0.414912,0
6876,6876,0.018583,5,0.255319,0.054281,0.317911,0.003467,0.422915,0.414912,0
4655,4655,0.013451,7,1.0,0.051249,0.406575,0.003467,0.422915,0.414912,0
3243,3243,0.009115,6,0.574468,0.067611,0.463255,0.003467,0.422915,0.414912,1
17973,17973,0.442812,5,0.446809,0.054161,0.520678,0.003783,0.523822,0.359649,0
8742,8742,0.026459,2,0.12766,0.047526,0.142963,0.003467,0.422915,0.414912,0
21742,21742,0.455467,6,0.978723,0.083433,0.652782,0.005658,0.51709,0.470614,1
18229,18229,0.443033,3,0.787234,0.075417,0.674502,0.005085,0.603055,0.45614,1
35731,35731,0.885492,4,0.404255,0.028942,0.534216,0.001953,0.614707,0.311842,0
8136,8136,0.022831,3,0.510638,0.060796,0.467123,0.003467,0.422915,0.414912,0
8903,8903,0.026592,5,0.489362,0.096253,0.491372,0.003467,0.422915,0.414912,0
10509,10509,0.031149,3,0.957447,0.060226,0.421303,0.003467,0.422915,0.414912,0
37659,37659,0.890315,2,0.574468,0.028852,0.586135,0.002044,0.629726,0.382018,0
34648,34648,0.881377,2,0.851064,0.029422,0.487504,0.002032,0.518125,0.367982,0
42631,42631,0.907216,1,0.148936,0.043263,0.120946,0.002856,0.217245,0.637281,0
12149,12149,0.425114,3,0.106383,0.056923,0.133591,0.003467,0.422915,0.414912,0
42236,42236,0.906818,6,0.93617,0.059535,0.401071,0.004111,0.286639,0.575,0
22561,22561,0.456263,3,0.021277,0.034526,0.529604,0.002254,0.453133,0.697368,0
26372,26372,0.468962,5,0.425532,0.055902,0.514728,0.003806,0.557483,0.214912,1
16068,16068,0.437989,7,0.765957,0.056023,0.425469,0.003467,0.422915,0.414912,1
8908,8908,0.026592,5,0.595745,0.074517,0.436775,0.003467,0.422915,0.414912,0
2085,2085,0.004956,3,0.446809,0.042572,0.582713,0.003467,0.422915,0.414912,0
22741,22741,0.456396,6,0.787234,0.042813,0.632401,0.002929,0.576385,0.307018,1
39340,39340,0.898013,2,0.595745,0.077729,0.590152,0.005035,0.600725,0.520175,1
31064,31064,0.871864,5,0.170213,0.02651,0.19875,0.000858,0.277835,0.853509,0
19038,19038,0.446839,6,0.638298,0.043233,0.499554,0.002989,0.476178,0.524123,1
4345,4345,0.013185,1,0.531915,0.041281,0.487206,0.003467,0.422915,0.414912,0
6503,6503,0.018229,4,0.489362,0.046866,0.511901,0.003467,0.422915,0.414912,0
26135,26135,0.46874,7,0.489362,0.029002,0.372359,0.001892,0.286121,0.738596,0
18970,18970,0.446794,5,0.212766,0.011559,0.254984,0.000754,0.201191,0.625,0
8819,8819,0.026503,3,0.744681,0.093911,0.445254,0.003467,0.422915,0.414912,1
16866,16866,0.438742,3,0.382979,0.067611,0.527968,0.003467,0.422915,0.414912,1
16287,16287,0.438211,5,0.319149,0.062357,0.453734,0.003467,0.422915,0.414912,0
23815,23815,0.460466,1,0.148936,0.021166,0.105921,0.001425,0.174003,0.742982,0
30492,30492,0.86828,7,0.255319,0.028612,0.252008,0.001186,0.244433,0.798684,0
16523,16523,0.438432,3,0.234043,0.055212,0.229694,0.003467,0.422915,0.414912,0
10073,10073,0.030751,1,0.87234,0.074817,0.383814,0.003467,0.422915,0.414912,0
42635,42635,0.907216,1,0.234043,0.044914,0.103541,0.002894,0.152512,0.806579,0
26244,26244,0.468829,2,0.765957,0.028041,0.428741,0.001897,0.257121,0.515789,0
9225,9225,0.026901,5,0.191489,0.059865,0.215858,0.003467,0.422915,0.414912,0
41523,41523,0.903102,6,0.06383,0.080972,0.393335,0.00539,0.453392,0.553947,1
10959,10959,0.031592,6,0.319149,0.07944,0.333978,0.003467,0.422915,0.414912,1
44794,44794,0.912261,4,0.212766,0.072055,0.319845,0.004936,0.327033,0.462719,1
1652,1652,0.004557,1,0.425532,0.089498,0.499702,0.003467,0.422915,0.414912,1
5003,5003,0.013805,1,0.234043,0.045755,0.247099,0.003467,0.422915,0.414912,0
476,476,0.000398,4,0.93617,0.121713,0.477388,0.003467,0.422915,0.414912,1
35671,35671,0.885448,3,0.148936,0.02684,0.189824,0.001743,0.306836,0.740789,0
18979,18979,0.446794,5,0.404255,0.059055,0.662898,0.004096,0.558001,0.421491,1
26803,26803,0.46936,7,0.404255,0.048217,0.420411,0.003184,0.333506,0.575877,1
18884,18884,0.446706,3,0.425532,0.084184,0.687891,0.005702,0.644485,0.426754,1
35628,35628,0.885403,2,0.255319,0.028101,0.324011,0.00183,0.31797,0.739912,0
13770,13770,0.429627,1,0.893617,0.071064,0.444808,0.003467,0.422915,0.414912,0
39786,39786,0.898412,4,0.893617,0.042362,0.566052,0.002846,0.544278,0.46886,0
25313,25313,0.486837,4,0.361702,0.055392,0.469949,0.003847,0.503366,0.251316,0
40639,40639,0.995575,1,0.659574,0.069773,0.261678,0.003143,0.274469,0.809649,1
27865,27865,0.47343,1,0.531915,0.029753,0.35659,0.002021,0.236665,0.633772,0
8247,8247,0.022919,5,0.829787,0.047496,0.414609,0.003467,0.422915,0.414912,0
15026,15026,0.434007,7,0.042553,0.043383,0.134781,0.003467,0.422915,0.414912,0
1695,1695,0.004602,2,0.319149,0.043833,0.611128,0.003467,0.422915,0.414912,0
22547,22547,0.456219,2,0.744681,0.045244,0.66141,0.003139,0.664682,0.389474,1
5688,5688,0.017477,1,0.510638,0.088657,0.508331,0.003467,0.422915,0.414912,1
29591,29591,0.867439,2,0.489362,0.028582,0.608301,0.001861,0.743397,0.417982,0
36876,36876,0.889607,7,0.255319,0.029542,0.22895,0.001886,0.290264,0.774123,0
35748,35748,0.885492,4,0.765957,0.121532,0.66632,0.008315,0.730709,0.341667,1
13274,13274,0.429185,5,0.553191,0.095232,0.616781,0.003467,0.422915,0.414912,1
7018,7018,0.018716,1,0.212766,0.045455,0.138203,0.003467,0.422915,0.414912,0
29288,29288,0.867174,3,0.170213,0.028101,0.129872,0.001882,0.132056,0.600877,0
31607,31607,0.872351,2,0.489362,0.028372,0.563374,0.001768,0.53392,0.829825,0
33221,33221,0.877041,1,0.106383,0.028612,0.110235,0.001894,0.175298,0.550439,0
4937,4937,0.013716,6,0.87234,0.041431,0.453139,0.003467,0.422915,0.414912,0
34197,34197,0.880979,7,0.446809,0.030593,0.415948,0.00124,0.325479,0.706579,1
33277,33277,0.877085,2,0.276596,0.037018,0.411038,0.002486,0.357846,0.360088,1
17812,17812,0.44268,2,0.085106,0.046535,0.206337,0.003066,0.307095,0.701754,0
32023,32023,0.875935,4,0.148936,0.02576,0.174353,0.001327,0.269549,0.857018,0
41287,41287,0.90288,1,0.148936,0.032064,0.097888,0.002094,0.201709,0.658333,0
36912,36912,0.889651,1,0.0,0.03942,0.406427,0.002592,0.396686,0.619737,0
31011,31011,0.87182,4,0.06383,0.035187,0.200684,0.000841,0.36173,0.666667,1
16289,16289,0.438211,5,0.361702,0.071965,0.476495,0.003467,0.422915,0.414912,0
37202,37202,0.889916,7,0.042553,0.116218,0.53972,0.007611,0.522786,0.523246,1
35663,35663,0.885403,2,1.0,0.043593,0.486165,0.002825,0.423874,0.683333,1
14125,14125,0.429981,2,0.276596,0.072985,0.511009,0.003467,0.422915,0.414912,0
16052,16052,0.437989,7,0.425532,0.046625,0.333978,0.003467,0.422915,0.414912,0
44372,44372,0.911862,2,0.425532,0.050288,0.537638,0.003363,0.562144,0.425,1
28666,28666,0.474183,4,0.212766,0.027231,0.224338,0.001793,0.189021,0.894737,0
28433,28433,0.473961,6,0.361702,0.029933,0.629128,0.001973,0.486277,0.626754,0
18604,18604,0.443387,4,0.595745,0.044134,0.472925,0.002997,0.523563,0.465789,0
22422,22422,0.45613,7,0.12766,0.032034,0.282505,0.001149,0.301139,0.742544,0
20995,20995,0.45175,5,0.404255,0.041852,0.74219,0.002779,0.704039,0.390789,1
27986,27986,0.473563,4,0.042553,0.027321,0.248289,0.001859,0.368462,0.424123,0
12493,12493,0.425424,3,0.276596,0.091239,0.414609,0.003467,0.422915,0.414912,0
41133,41133,0.902703,4,0.957447,0.060766,0.483785,0.004003,0.41999,0.566667,0
44221,44221,0.91173,6,0.276596,0.087727,0.491818,0.005997,0.669601,0.303947,1
24686,24686,0.46436,5,0.297872,0.0269,0.334573,0.00182,0.348006,0.553509,0
14946,14946,0.433919,5,0.382979,0.060856,0.553109,0.003467,0.422915,0.414912,1
7488,7488,0.022256,4,0.0,0.057884,0.391104,0.003467,0.422915,0.414912,0
28149,28149,0.473696,7,0.446809,0.054972,0.504017,0.003562,0.447954,0.692105,1
8460,8460,0.023141,3,0.255319,0.119491,0.355698,0.003467,0.422915,0.414912,1
2250,2250,0.005088,6,0.893617,0.068362,0.422642,0.003467,0.422915,0.414912,0
28981,28981,0.474448,3,0.787234,0.035727,0.340821,0.002489,0.209995,0.376316,0
785,785,0.000708,4,0.361702,0.124204,0.564118,0.003467,0.422915,0.414912,1
23010,23010,0.456661,5,0.382979,0.03948,0.658435,0.002659,0.611341,0.544298,1
28260,28260,0.473784,2,0.765957,0.027411,0.495388,0.001791,0.393061,0.731579,0
32072,32072,0.875979,5,0.170213,0.02588,0.213478,0.001631,0.278094,0.889035,0
9001,9001,0.02668,7,0.531915,0.048487,0.247992,0.003467,0.422915,0.414912,0
24165,24165,0.460776,1,0.446809,0.033025,0.419964,0.002252,0.189021,0.489035,1
70,70,4.4e-05,3,0.468085,0.042482,0.491818,0.003467,0.422915,0.414912,0
5520,5520,0.014291,5,0.0,0.040591,0.525736,0.003467,0.422915,0.414912,0
9247,9247,0.026901,5,0.659574,0.130569,0.578697,0.003467,0.422915,0.414912,1
3599,3599,0.009424,6,1.0,0.041642,0.44704,0.003467,0.422915,0.414912,0
21367,21367,0.452104,6,0.148936,0.033265,0.27224,0.002237,0.307354,0.711404,0
42263,42263,0.906863,7,0.489362,0.047256,0.386343,0.003168,0.257639,0.709211,0
43471,43471,0.907969,4,0.659574,0.042002,0.460875,0.003378,0.543242,0.322807,0
26969,26969,0.469493,3,0.87234,0.028792,0.365814,0.001928,0.340497,0.565351,0
42155,42155,0.906774,5,0.234043,0.03969,0.218834,0.002644,0.151994,0.626316,0
12005,12005,0.424981,7,0.106383,0.055242,0.052514,0.003467,0.422915,0.414912,0
14473,14473,0.433476,2,0.531915,0.089168,0.599375,0.003467,0.422915,0.414912,1
16324,16324,0.438255,6,0.085106,0.048337,0.24457,0.003467,0.422915,0.414912,0
5485,5485,0.014247,4,0.276596,0.040591,0.464296,0.003467,0.422915,0.414912,0
18871,18871,0.446706,3,0.148936,0.018494,0.250669,0.001178,0.309425,0.67193,0
1336,1336,0.004248,1,0.851064,0.048517,0.504909,0.003467,0.422915,0.414912,0
